gene,A1,B1,C1,A2,B2,C2,A3,B3,C3
Glyma03g03790,146,168,180,175,166,156,42,59,68
Glyma03g02470,38,76,27,48,66,23,6,27,17
Glyma14g40590,1885,1662,1780,2202,2239,2251,7228,7831,7959
Glyma14g17090,45,95,84,71,66,90,47,25,36
Glyma14g11331,13,8,13,0,8,9,3,8,8
Glyma10g44500,0,0,0,0,0,0,2,1,0
Glyma09g27360,3,0,0,0,0,0,0,1,5
Glyma05g35620,301,373,314,278,326,305,398,420,389
Glyma07g37500,311,332,291,297,292,274,203,168,190
Glyma05g08400,3,0,0,0,0,0,0,0,2
Glyma02g15590,4319,3748,4320,4080,4230,4075,3052,2957,3098
Glyma09g15310,1442,1265,1276,1238,1389,1210,1321,1166,1240
Glyma17g29170,29,43,56,21,43,32,30,21,29
Glyma16g05845,0,0,0,0,0,2,0,0,0
Glyma07g06060,599,653,510,480,428,440,168,125,129
Glyma13g11994,469,285,187,212,179,207,436,397,801
Glyma18g47685,30,47,59,64,40,76,62,103,71
Glyma05g31650,0,0,2,0,0,0,5,5,2
Glyma08g44031,43,38,31,54,96,38,571,527,589
Glyma02g14810,0,0,0,0,0,0,5,3,20
Glyma07g03730,2214,2060,1800,2314,2127,1986,23105,19779,18470
Glyma04g05200,15,3,13,17,22,2,5,4,2
Locus_83837,0,0,6,0,0,0,2,4,3
Glyma09g41921,30,52,44,52,44,57,40,25,34
Glyma10g42940,3436,3947,3813,3511,3782,3886,3642,4080,3793
Glyma02g36780,0,0,0,0,0,0,5,0,3
Glyma17g11301,2501,2234,2310,2568,2413,2566,1547,1536,1511
Glyma13g36290,1546,1216,1195,1456,1294,1316,2499,1985,1917
Glyma04g14341,1,0,2,0,0,1,0,0,0
Glyma15g01990,13,22,17,29,168,19,321,263,214
Glyma20g29370,13,5,0,4,0,5,20,4,10
Glyma09g23631,3,3,3,0,16,4,6,8,7
Glyma11g09080,40,50,31,52,40,70,30,19,22
Glyma01g42730,402,500,479,578,578,548,685,797,748
Glyma05g26110,5,0,8,4,0,7,0,0,0
Glyma16g21605,1454,1342,1163,1487,1445,1291,2550,2268,2119
Glyma09g27100,4643,3218,3323,4496,3428,3624,3786,2706,2815
Glyma08g14640,5,3,9,4,19,5,43,36,46
Glyma08g08070,0,0,0,0,0,0,7,1,0
Glyma07g33021,411,431,453,355,420,416,284,366,386
Glyma18g09314,0,3,0,0,0,0,0,1,2
Glyma05g08931,927,1084,1013,974,1000,1052,1103,1026,1086
Glyma16g31800,72,35,54,54,66,58,88,103,74
Glyma04g04435,9,16,21,17,35,12,6,5,2
Glyma02g36720,441,258,355,245,215,258,140,202,209
Glyma07g09650,0,0,0,0,0,0,1,0,0
Glyma05g31710,1421,916,1090,1192,1065,872,1172,1183,1145
Glyma04g38370,410,329,307,403,401,298,584,511,518
Glyma07g31015,0,0,0,0,0,0,0,0,2
Glyma09g28814,3,5,2,0,0,4,2,0,4
Glyma12g20685,83,96,104,75,104,107,119,98,98
Glyma10g43331,0,0,0,0,0,0,11,3,2
Glyma13g34700,98,64,89,50,69,80,120,103,121
Glyma08g20355,0,8,6,8,0,8,10,5,11
Glyma08g25510,0,0,0,0,0,1,0,0,2
Locus_38629,0,0,0,0,5,0,9,1,7
Glyma03g01100,1361,1254,1152,1417,1323,1257,1602,1801,1972
Glyma01g27291,0,3,0,0,0,0,0,0,0
Glyma07g30451,973,948,815,852,922,877,1453,1078,978
Locus_70091,0,0,5,0,0,6,8,0,0
Glyma12g07510,890,782,793,1213,1082,953,1748,1482,1578
Glyma19g05800,3,0,0,0,3,0,0,1,0
Glyma08g02790,255,224,222,258,273,287,337,322,345
Glyma11g00640,4624,4631,5142,5019,4932,5089,3536,3517,3426
Glyma18g42217,23,27,22,37,13,21,27,28,25
Glyma09g41540,5,0,5,12,0,1,2,0,2
Glyma03g05758,0,0,2,0,0,2,2,0,0
Glyma11g12580,1024,1421,1497,1049,1298,1386,761,1051,986
Glyma02g11100,575,525,516,492,474,502,170,155,139
Glyma01g44930,855,927,1019,1298,1353,1171,30422,27852,34641
Glyma11g13760,1290,1080,1214,1550,1376,1365,1544,1337,1517
Glyma01g20670,3102,3248,3072,3370,3168,3288,2512,2266,2426
Glyma08g16180,3736,4593,4895,4304,4849,5252,5278,6022,5728
Glyma17g14720,0,3,0,0,0,0,0,0,0
Glyma02g39010,238,354,271,222,292,243,134,195,128
Glyma18g10641,0,3,0,4,0,4,0,3,2
Glyma09g00630,402,241,372,478,427,360,1045,1058,1003
Glyma05g11654,269,179,179,237,214,173,87,90,75
