,baseMean,log2FoldChange,lfcSE,pvalue,padj
GLYMA_U043500,12.91678989,-0.121473558,0.236976189,0.250838456,0.617988662
GLYMA_U043400,16.97509656,-0.431415438,0.422229297,0.024632224,0.133659713
GLYMA_U042300,5.167784764,-0.019777654,0.217965711,0.790365288,NA
GLYMA_U042000,7.96668888,0.019510841,0.211601313,0.823276689,NA
GLYMA_U041700,32.07317032,0.160125533,0.197285628,0.214264371,0.571583407
GLYMA_U041200,87.66675554,0.040607564,0.125191541,0.698558821,0.921310535
GLYMA_U040900,3.300158113,0.004559686,0.227359219,0.908445543,NA
GLYMA_U040400,36.34789349,-0.267749692,0.235128966,0.068748376,0.281658993
GLYMA_U040100,0.906893577,0.011976803,0.228453844,0.730567053,NA
GLYMA_U039600,2.389305175,0.00697004,0.225081595,0.890443726,NA
GLYMA_U039500,1.744516095,0.009127622,0.225533171,0.852067295,NA
GLYMA_U039300,4.967737376,0.014069581,0.217699776,0.847586264,NA
GLYMA_U039100,1.580597636,-0.026603009,0.228152028,0.561538705,NA
GLYMA_U038900,0.825978282,0.011447011,0.228552975,0.736321097,NA
GLYMA_U038800,15.67926496,-0.053449736,0.202266327,0.609147487,0.883084107
GLYMA_U038700,0.913137432,-0.036958659,0.232800462,0.240496715,NA
GLYMA_U038600,8.303147854,-0.07562888,0.223832139,0.406812374,NA
GLYMA_U038500,22.15334484,-0.523306138,0.364575343,0.012226174,0.080831388
GLYMA_U038400,2.655335176,0.058042171,0.233587609,0.319721647,NA
GLYMA_U038300,15.419666,0.045806127,0.199701504,0.664497583,0.900959088
GLYMA_U038200,0.819401811,-0.001086715,0.228669788,0.973984369,NA
GLYMA_U038100,0.910501128,-0.014551195,0.22879472,0.671199487,NA
GLYMA_U037800,8.636877554,0.006700181,0.208556306,0.9410637,NA
GLYMA_U037700,0.491783571,-0.024475762,0.231792058,0.378218944,NA
GLYMA_U037600,0.418471485,-0.022581004,0.231783622,0.311015287,NA
GLYMA_U037300,0.999087801,-0.002104179,0.22750432,0.95714866,NA
GLYMA_U036500,0.9012058,0.010961409,0.230960885,0.407118675,NA
GLYMA_U036400,1.087265388,0.01013221,0.230915945,0.422068323,NA
GLYMA_U036300,0.966829183,-0.001277913,0.230311715,0.921218132,NA
GLYMA_U036200,1.520150335,0.05977825,0.24012918,0.057923742,NA
GLYMA_U036100,0.498787456,-0.000965031,0.23002411,0.978352817,NA
GLYMA_U036000,0.978936716,0.009335858,0.230908855,0.401357956,NA
GLYMA_U035700,3.152800346,-0.026880137,0.223908575,0.660430792,NA
GLYMA_U035500,32.45281462,-0.090177256,0.181743052,0.449706101,0.799242318
GLYMA_U035000,0.41128199,0.012353621,0.230286536,0.570376945,NA
GLYMA_U034900,3.372109765,0.003673243,0.230029828,0.862951435,NA
GLYMA_U034800,4.999270475,0.016201084,0.23149592,0.079453059,NA
GLYMA_U034700,1.243726807,0.022851842,0.228334343,0.595440453,NA
GLYMA_U034600,0.589350516,0.019718247,0.230316635,0.457404502,NA
GLYMA_U034500,22.32190574,0.309599992,0.305891126,0.052842548,0.234644167
GLYMA_U034400,0.836046821,-0.001799276,0.227769149,0.958804395,NA
GLYMA_U034300,4.895173616,0.070819127,0.232032902,0.342868442,NA
GLYMA_U034100,4.992953048,0.012366121,0.217116786,0.869539921,NA
GLYMA_U034000,8.949684326,0.122864843,0.247325983,0.210273314,NA
GLYMA_U033900,6.806600379,0.021048057,0.213892682,0.800180323,NA
GLYMA_U033700,1.581934604,-0.041926011,0.231506933,0.363321273,NA
GLYMA_U033600,23.24149444,-1.402637332,0.351472361,3.96E-06,9.75E-05
GLYMA_U033500,6.633548568,0.010773229,0.213748118,0.897573504,NA
GLYMA_U033400,14.86422283,-0.01832012,0.198282381,0.853847866,0.969928059
GLYMA_U033300,13.38127731,-0.02672849,0.201868913,0.788096735,0.949303029
GLYMA_U033200,5.244430351,0.024554769,0.218294527,0.744015549,NA
GLYMA_U033100,0.589911629,0.007758597,0.229839081,0.722707136,NA
GLYMA_U033000,8.38909731,0.157625972,0.274578362,0.126145876,NA
GLYMA_U032900,68.99370283,-0.254526737,0.248097429,0.081007403,0.316063883
GLYMA_U032800,2.404355957,0.042676962,0.228595095,0.459975118,NA
GLYMA_U032500,1.078009429,-0.014828294,0.227780836,0.712124642,NA
GLYMA_U032300,8.813838074,-0.001681069,0.210239676,0.982834847,NA
GLYMA_U032200,6.239080284,0.056755025,0.223088611,0.484132715,NA
GLYMA_U032100,0.574477208,-0.012347544,0.22980377,0.636271848,NA
GLYMA_U031400,2.157042459,0.083665362,0.246437001,0.130870448,NA
GLYMA_U031300,6.053708491,0.043659622,0.219752541,0.583914301,NA
GLYMA_U031200,2.646683169,0.040847198,0.227376552,0.493944241,NA
GLYMA_U031100,5.002319091,0.012405872,0.218516734,0.863148655,NA
GLYMA_U031000,7.883239385,0.008470166,0.210619943,0.922900429,NA
GLYMA_U030800,12.2099207,-0.338603047,0.422130247,0.038112558,0.184993243
GLYMA_U030700,5.48341387,-0.029999676,0.218184458,0.694936151,NA
GLYMA_U030300,3.575777921,0.024527328,0.220820764,0.724280718,NA
GLYMA_U030200,6.480310682,-0.031464496,0.216388318,0.696832373,NA
GLYMA_U030100,6.822505391,0.053573774,0.220734907,0.521870622,NA
GLYMA_U029900,1.984622733,0.034204469,0.228865501,0.489973887,NA
GLYMA_U029700,1.739353741,-0.003330901,0.225164658,0.947262583,NA
GLYMA_U029600,11.17750738,0.126035907,0.251167038,0.19157684,0.539040123
GLYMA_U029500,1.910286015,-0.04318069,0.232753594,0.309284512,NA
GLYMA_U029300,1.417559286,-0.040830143,0.231360129,0.369256881,NA
GLYMA_U029100,2.075842881,0.059579705,0.236291602,0.235881764,NA
GLYMA_U029000,13.6388229,-0.00039056,0.19962234,0.99262165,0.998306424
GLYMA_U028700,2.998022446,-0.052974457,0.23042638,0.388420445,NA
GLYMA_U028600,1.905621115,-0.027291972,0.227177009,0.587742177,NA
GLYMA_U028300,4.476494548,0.038812813,0.222824721,0.584949921,NA
GLYMA_U028200,7.326204854,0.000467527,0.213962552,0.99647127,NA
GLYMA_U027900,17.12819932,-0.02075301,0.195848961,0.840511355,0.968039497
GLYMA_U027700,3.669615765,0.028908196,0.223094924,0.654205447,NA
GLYMA_U027600,0.999087801,-0.002104179,0.22750432,0.95714866,NA
GLYMA_U027500,3.404784982,-0.00544835,0.221839744,0.926987267,NA
GLYMA_U027200,0.999087801,-0.002104179,0.22750432,0.95714866,NA
GLYMA_U026800,12.04733755,-0.133762399,0.242343426,0.220098455,0.579323682
GLYMA_U026700,1.320548413,0.008145127,0.226676437,0.829481929,NA
GLYMA_U026600,1.194728614,-0.036908916,0.233130964,0.228393257,NA
GLYMA_U025900,16.84818247,0.07929595,0.207589825,0.464352127,0.808324939
GLYMA_U025800,37.09564806,-0.110440414,0.178558023,0.364112413,0.735704436
GLYMA_U025700,3.652016733,0.083902927,0.240804644,0.227975333,NA
GLYMA_U025600,5.828492281,0.044864694,0.220722338,0.571653784,NA
GLYMA_U025000,2.075528874,0.020863129,0.226054786,0.681112126,NA
GLYMA_U024900,1.901685044,-0.014862794,0.226029088,0.758839874,NA
GLYMA_U024600,1.32094616,0.020632081,0.227398856,0.651632668,NA
